UPRN,nearest_rd
38001923,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001924,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001925,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001926,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001927,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001928,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001929,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001930,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001931,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001932,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001933,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001934,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001935,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001936,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001937,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001938,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001939,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38001940,id05DBA37E-6B9C-4087-8A12-71C44F723E4E
38001941,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38001942,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38001943,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38001944,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38001945,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38001946,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38001947,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38001948,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38001949,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38001950,id10C22AC1-953D-4205-9F5C-87F35CC3B12B
38001951,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38001952,idDF012CB1-7D75-480E-81AD-202BB2CF0C52
38002868,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002869,id76A6887F-732A-40A5-A8AE-1D18A1EF1B1F
38002870,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002871,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002872,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002873,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002874,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002875,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002876,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002877,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002878,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002879,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38002880,id2C97785B-7E4B-435F-97E6-9BEE8AACA1F2
38003276,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003277,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003278,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003279,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003280,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003281,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003282,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003283,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003284,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003285,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003286,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003287,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003288,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003289,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003290,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003291,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003292,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003293,id13AEB11B-F866-4E61-BBD2-CBB1BE8DBDD0
38003294,id48DC8FB2-AE2B-4556-9C4C-548D6162BE72
38004486,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004487,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004488,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004489,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004490,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004491,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004492,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004493,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004494,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004495,id32B5DE4B-AB18-4166-AB54-112ECC17425E
38004496,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004497,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004498,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004499,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004500,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004501,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004502,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004503,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004504,idCAC89A38-056C-4497-AF5C-BC0CA7E5C7EE
38004505,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004506,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004507,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004508,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004509,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004510,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004511,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004512,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004513,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38004514,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38007668,id624DBE6A-BB7A-433E-AFEB-A06DF579E847
38007669,id1D3CCDA1-56E0-4807-B525-8F29EFF23706
38007670,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007671,idC7F046C6-A458-4F28-B053-88A6149EA35D
38007672,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007673,idC7F046C6-A458-4F28-B053-88A6149EA35D
38007674,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007675,idC7F046C6-A458-4F28-B053-88A6149EA35D
38007676,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007677,idC7F046C6-A458-4F28-B053-88A6149EA35D
38007678,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007679,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007680,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007681,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007682,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007683,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007684,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007685,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007686,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007687,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007688,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007689,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007690,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007691,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007692,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007693,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007694,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007695,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007696,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007697,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007698,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007699,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007700,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007701,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007702,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007703,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007704,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007705,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007706,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007707,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007708,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007709,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007710,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007711,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007712,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007713,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007714,id86EB6CF7-CC44-44BD-BEEA-7CBA61B95AFE
38007715,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007716,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007717,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007718,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007719,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007720,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007721,id254B44F0-14C4-41C1-AD71-BD399C5052DE
38007722,id4410477A-E3C4-4F38-ABB8-8C3637BCB268
38010257,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010258,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010259,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010260,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010261,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010262,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010263,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010264,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010265,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010266,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010267,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010268,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010269,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010270,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010271,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010272,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010273,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010274,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010275,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010276,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010277,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010278,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010279,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010280,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010281,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010282,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010283,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010284,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010285,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010286,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010287,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010288,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010289,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010290,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010291,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010292,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010293,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010294,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010295,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010296,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010297,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010298,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010299,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38010300,idA5FB42FD-5D50-4934-B38A-8DCDEC43B29B
38011508,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011509,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011510,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011511,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011512,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011513,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011514,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011515,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011516,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011517,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011518,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011519,id282F9CDE-4910-4217-A81D-BE5319A3676B
38011520,id6DA078A1-7451-4D67-925C-5BF80309E854
38011521,id6DA078A1-7451-4D67-925C-5BF80309E854
38011522,id6DA078A1-7451-4D67-925C-5BF80309E854
38011523,id6DA078A1-7451-4D67-925C-5BF80309E854
38011524,id6DA078A1-7451-4D67-925C-5BF80309E854
38011525,id6DA078A1-7451-4D67-925C-5BF80309E854
38011526,id6DA078A1-7451-4D67-925C-5BF80309E854
38011527,id6DA078A1-7451-4D67-925C-5BF80309E854
38011528,id6DA078A1-7451-4D67-925C-5BF80309E854
38011529,id6DA078A1-7451-4D67-925C-5BF80309E854
38011530,id6DA078A1-7451-4D67-925C-5BF80309E854
38011531,id6DA078A1-7451-4D67-925C-5BF80309E854
38011532,id9282785E-8396-4732-859A-02C869439ACD
