,mean,std,Q1,median,Q3,IQR
segment_length,107.49045850549936,81.88460582381806,48.76474136094644,107.49045850549936,112.69134836542358,63.92660700447714
segment_length_per_property,8.572058329715954,10.390214116448366,3.980028266231284,5.418304595660715,7.601538270678301,3.6215100044470168
properties,23.2,23.11323246868588,6.0,9.0,26.8,20.8
buildings,3.9,2.8226760352544886,2.0,3.0,4.725,2.7249999999999996
neighbouring_face_blocks,2.0,0.0,2.0,2.0,2.0,0.0
block_building_footprint,955.4015238886136,878.3596851242274,257.8427250000217,415.7945250001297,1364.2436351372567,1106.4009101372349
median_property_footprint,49.397995249980156,12.584492189977885,44.60249999988199,49.93544999999341,51.73873979164357,7.136239791761575
mean_property_footprint,49.91289644999115,12.519638214660713,47.36364117639081,49.93544999999341,52.81547151035096,5.451830333960153
